Row,MutualSVM,Fsa,ReliefLogist,ReliefFsa,FisherSVM,GiniFsa,MutualFsa,SVM,GiniSVM,FisherFsa,Chi2Fsa,Chi2SVM,MutualLogist,FisherLogist,TscoreSVM,MrmrFsa,MrmrSVM,TscoreFsa,TscoreLogist,Chi2Logist,GiniLogist,MrmrLogist,ReliefBoostedDT,ReliefNaiveB,ReliefSVM,FisherBoostedDT,LogisticReg,MutualBoostedDT,TscoreBoostedDT,GiniBoostedDT,MrmrBoostedDT,FisherNaiveB,Chi2BoostedDT,MutualNaiveB,BoostedDT,MrmrNaiveB,TscoreNaiveB,Chi2NaiveB,GiniNaiveB,NaiveBayes
GiniBoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0517,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1068,0.0522,<0.05,0.2899,<0.05,0.1158,0.268,0.6321,0.5133,0.8055,1,0.9269,0.8807,0.5494,<0.05,0.1228,<0.05,<0.05,<0.05,<0.05,<0.05
MrmrBoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.2454,<0.05,0.1233,0.2048,0.608,0.5613,0.6442,0.9269,1,0.941,0.6312,0.0846,0.1386,<0.05,<0.05,<0.05,<0.05,<0.05
FisherNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.081,<0.05,<0.05,0.2048,<0.05,<0.05,0.1086,0.4213,0.4071,0.7945,0.8807,0.941,1,0.7487,0.1052,0.1022,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2BoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0675,<0.05,<0.05,0.2922,<0.05,0.0906,0.1029,0.4209,0.3055,0.2673,0.5494,0.6312,0.7487,1,0.2311,0.3186,<0.05,0.0522,<0.05,<0.05,<0.05
MutualNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.059,<0.05,<0.05,<0.05,0.0509,<0.05,0.0913,<0.05,0.0846,0.1052,0.2311,1,0.7675,0.0718,0.0898,<0.05,<0.05,<0.05
BoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1193,0.0524,0.1634,0.1228,0.1386,0.1022,0.3186,0.7675,1,<0.05,<0.05,0.0506,0.0586,<0.05
MrmrNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0718,<0.05,1,0.8871,0.1801,0.1519,<0.05
TscoreNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0522,0.0898,<0.05,0.8871,1,0.1854,0.2067,<0.05
Chi2NaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0506,0.1801,0.1854,1,0.7135,<0.05
GiniNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0586,0.1519,0.2067,0.7135,1,<0.05
NaiveBayes,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1
